name,city,country_code,size
Staybridge Suites Plano / Frisco,Frisco (Texas),us,101
Leamira Hotel Kas,Kas,tr,15
PapĂ­Ă­ Departamentos Temporarios,La Plata,ar,13
Mirror Touch Service,Gurgaon,in,20
Hotel Alpenhof,Bad Wiessee,de,37
Marina Apartments,Agios Gordios,gr,25
Ranjit's Svaasa Amritsar,Amritsar,in,16
Hotel Aurora,Loano,it,14
Landgasthof Auenhof,Giessen,de,11
Broadwater Beach Resort,Busselton,au,65
Valencia Suits You B&B,Valencia,es,23
Schlosspark Mauerbach,Mauerbach,at,45
Hostel Evotel,Zielonka,pl,35
Adonis Hotel Bayonne,Lahonce,fr,78
The Lakeside Hotel & Leisure Centre,Killaloe,ie,43
Camping de Sion,Saint-Hilaire-de-Riez,fr,200
Jomtien Boathouse,Jomtien Beach,th,24
The Royal Riviera Hotel Doha,Doha,qa,168
Liuzhou Qiantai Hotel,Liuzhou,cn,165
Hanting Express Hangzhou Huanglong,Hangzhou,cn,97
Nature Heritage Resort,Umaria,in,22
Holiday Inn Pearl - Jackson Area,Pearl (Mississippi),us,119
Eaka 365 Hotel South Jianhua Road Zhongmei Branch,Shijiazhuang,cn,83
Hotel - Restaurant Le Grand Chalet,La Tremblade,fr,26
La Bonita Inn & Suites,Crane (Texas),us,36
Hotel Risveglio Akasaka,Tokyo,jp,71
"Thistle Trafalgar Square, The Royal Trafalgar",London,gb,108
PremiĂ¨re Classe Colmar Nord - Houssen,Houssen,fr,50
Serenity Bedouin Camp Wadi Rum,Ramm,jo,12
Imperial Dynasty Boutique Hotel,Dounan,tw,74
Hotel Gure Echea,Villa Carlos Paz,ar,21
Como Noosa,Noosaville,au,12
Hotel Atithi galaxy,KÄnpur,in,20
Plazza Hotel,Aguas de Lindoia (Sao Paulo),br,65
Hotel Palacio Chatino,Santos Reyes Nopala,mx,14
Majestic Hotel,Guangzhou,cn,171
Hotel Bellevue,Charzykowy,pl,20
Hotel La Villa Excelsior,Bastia Umbra,it,22
Sleeping Ute Mountain Motel,Cortez (Colorado),us,24
Quality Suites Deep Blue,Warrnambool,au,80
7Days Inn Bijie Central District Xiaoshizi,Bijie,cn,83
